team,form_gf,form_ga
Asturias,1.4744233207866189,1.4772617633837213
Central Spain,1.0,4.0
Manchukuo,0.0,6.5
Saarland,1.0,3.6
North Vietnam,1.0,2.2
Vietnam Republic,0.6,2.2
Western Australia,1.8,1.6
South Yemen,0.5,3.0
Niue,0.0,14.0
Yemen DPR,0.8,2.4
German DR,2.2,1.2
Yugoslavia,1.6,1.4
Czechoslovakia,2.8,1.0
Wallis Islands and Futuna,1.4,6.4
Palau,2.0,6.0
Sark,0.0,18.333333333333332
Micronesia,1.6,9.2
Chechnya,1.0,8.0
Republic of St. Pauli,3.0,1.0
Găgăuzia,0.5,4.0
Crimea,1.5,2.0
Silesia,4.0,2.4
Ambazonia,0.4,2.8
Canary Islands,3.0,1.0
Rhodes,2.2,0.4
Kiribati,0.2,11.8
Cilento,1.4744233207866189,1.4772617633837213
Saint Pierre and Miquelon,0.2,10.2
Brittany,1.2,1.2
Andalusia,2.4,0.8
Madrid,1.4744233207866189,1.4772617633837213
Quebec,12.0,0.5
Provence,6.4,2.6
Kurdistan,2.75,0.5
Western Sahara,2.2,3.2
Saugeais,1.4744233207866189,1.4772617633837213
Darfur,0.2,14.8
Arameans Suryoye,1.0,1.4
Sealand,3.0,1.6
Seborga,1.4744233207866189,1.4772617633837213
Occitania,1.0,0.6
County of Nice,2.6,0.8
Romani people,2.0,4.6
Iraqi Kurdistan,1.8,0.6
Délvidék,3.0,1.0
Ryūkyū,1.4744233207866189,1.4772617633837213
Monaco,1.2,3.6
Corsica,1.2,0.4
Felvidék,0.8,1.0
Saare County,1.8,2.0
Gotland,3.8,1.6
Donetsk PR,1.2,1.2
Surrey,1.4744233207866189,1.4772617633837213
Ellan Vannin,2.4,1.2
Kabylia,1.6,2.6
United Koreans in Japan,1.2,0.6
Kárpátalja,3.0,1.0
Northern Cyprus,3.4,1.2
Catalonia,1.8,1.4
Somaliland,2.4,2.8
Cascadia,3.2,1.4
Barawa,0.6,4.4
Yorkshire,5.0,2.0
Parishes of Jersey,1.0,1.0
Abkhazia,1.6,0.6
Artsakh,2.4,1.8
Padania,2.0,0.6
Western Armenia,3.0,0.8
Franconia,2.0,4.0
Eritrea,0.4,2.2
Luhansk PR,1.0,1.8
South Ossetia,1.4,0.6
Chagos Islands,1.4,6.0
Panjab,2.6,2.2
Vatican City,0.6,3.0
Alderney,1.2,3.8
Yoruba Nation,1.0,1.0
Biafra,0.5,0.5
Matabeleland,1.2,0.4
Mapuche,0.0,1.0
Maule Sur,1.0,0.0
Aymara,1.0,3.0
Elba Island,4.0,2.0
West Papua,2.0,8.0
Saint Barthélemy,2.8,2.2
Chameria,2.0,0.8
Székely Land,1.6,2.8
Two Sicilies,0.6,2.2
Åland Islands,1.0,1.8
Falkland Islands,0.6,3.4
Isle of Wight,1.8,0.8
Saint Helena,0.2,4.8
Guernsey,1.4,1.2
Menorca,1.2,1.4
Kernow,2.8,0.8
Sápmi,1.0,2.8
Ticino,1.0,8.0
Raetia,3.0,2.8
Hmong,2.5,3.5
Mayotte,1.2,0.8
Réunion,1.6,0.6
Tuvalu,1.0,6.0
Northern Mariana Islands,1.4,4.2
Galicia,1.6,2.4
Greenland,1.2,2.8
Cook Islands,0.2,3.0
Tonga,2.0,2.4
Samoa,1.2,2.0
French Guiana,1.0,1.8
Zanzibar,1.2,0.8
Tahiti,1.4,1.8
Montserrat,0.6,0.8
North Korea,1.0,2.2
Guadeloupe,1.2,1.4
Tibet,1.8,3.2
East Turkestan,3.75,2.75
Tamil Eelam,3.0,0.6
Orkney,2.0,1.6
Gozo,0.8,0.6
Ynys Môn,2.4,1.4
Hitra,2.4,4.0
Shetland,2.8,1.2
Frøya,1.4,4.8
Western Isles,0.8,0.8
Jersey,3.4,1.2
Isle of Man,4.2,1.0
Marshall Islands,0.0,4.0
Turks and Caicos Islands,0.6,2.2
Eswatini,1.0,2.0
São Tomé and Príncipe,0.6,3.2
Mauritius,0.8,2.2
Congo,1.0,1.8
Seychelles,0.0,4.8
Basque Country,2.0,1.0
Chad,1.0,2.2
Brunei,0.4,3.6
Malaysia,3.0,0.4
Sri Lanka,1.2,1.4
Turkmenistan,1.4,0.8
Timor-Leste,0.6,2.4
Taiwan,0.6,3.8
Antigua and Barbuda,0.2,1.0
Nepal,0.8,1.6
Laos,0.8,3.2
Papua New Guinea,1.8,0.8
South Sudan,0.4,2.0
Djibouti,0.4,3.8
Lebanon,2.2,0.4
Somalia,0.4,2.0
Yemen,3.6,0.2
United Arab Emirates,1.4,1.4
Uganda,1.0,2.2
Sudan,0.4,2.0
Suriname,1.8,1.2
Vietnam,2.2,1.0
New Caledonia,1.8,1.2
Saint Lucia,0.8,3.0
American Samoa,0.8,5.6
United States Virgin Islands,2.2,2.2
Namibia,0.2,2.6
Macau,0.4,2.4
Barbados,1.2,2.2
Saint Martin,1.2,2.0
Tanzania,0.6,1.2
Saint Vincent and the Grenadines,2.4,1.2
Bahamas,0.4,5.0
Anguilla,1.0,3.0
Martinique,0.4,1.2
Cuba,1.4,1.0
Guyana,2.2,0.6
Belize,1.8,1.6
Sint Maarten,1.4,2.4
Saint Kitts and Nevis,1.8,2.2
Rwanda,1.0,1.0
Gabon,1.2,2.8
Solomon Islands,1.2,3.8
Dominica,1.2,2.4
Cameroon,1.0,1.2
Libya,0.8,0.6
Botswana,0.4,2.4
Guinea-Bissau,0.6,1.6
Zambia,0.8,2.0
Grenada,1.2,1.8
Burundi,0.0,1.2
Gambia,3.0,1.8
Zimbabwe,1.4,1.6
North Macedonia,0.2,2.2
Maldives,0.8,1.6
Madagascar,2.2,1.6
Dominican Republic,1.0,0.8
Poland,1.6,1.8
Israel,1.2,2.2
Mali,0.4,0.6
Serbia,0.8,2.0
Guinea,1.4,1.2
Kenya,1.0,2.4
Bhutan,0.4,3.4
Lesotho,0.4,1.4
Georgia,1.2,1.8
Mongolia,0.6,3.0
Montenegro,1.8,1.4
Puerto Rico,1.6,1.6
Singapore,2.2,1.2
Malta,1.0,2.6
Slovakia,1.6,2.2
Syria,0.8,0.4
Bulgaria,2.6,1.2
Republic of Ireland,2.2,0.8
Bahrain,1.4,2.0
Oman,0.6,1.0
Kuwait,1.4,1.8
Bangladesh,1.4,2.0
Nicaragua,0.8,1.8
Finland,1.4,1.2
Honduras,1.0,0.8
Bermuda,0.4,3.6
Jamaica,0.8,0.8
Bonaire,1.2,3.0
Wales,2.2,0.8
Luxembourg,0.0,2.0
British Virgin Islands,2.6,1.2
El Salvador,0.6,2.0
Cayman Islands,1.0,4.0
Fiji,0.0,4.4
Romania,1.8,1.6
Vanuatu,1.6,1.2
Guam,1.8,3.0
Albania,0.4,1.2
Aruba,2.2,1.4
Gibraltar,2.6,2.0
Greece,1.0,1.0
Denmark,2.0,1.6
Cyprus,1.2,2.0
Italy,1.4,1.0
Ukraine,1.2,1.4
Kosovo,1.6,1.4
Guatemala,1.4,3.2
Slovenia,1.0,1.4
Andorra,0.4,1.4
Liechtenstein,0.4,2.8
Northern Ireland,0.6,0.8
Mauritania,0.6,1.4
Peru,1.2,1.6
Niger,0.8,1.2
Equatorial Guinea,0.8,1.4
Ethiopia,0.6,1.4
Palestine,0.8,0.8
Faroe Islands,1.2,1.2
Estonia,1.4,1.8
Indonesia,1.8,1.0
India,0.4,1.8
Venezuela,1.2,1.0
Angola,1.2,1.2
Tajikistan,3.0,0.6
Philippines,3.2,1.0
Moldova,1.0,2.6
Mozambique,1.2,2.2
Hong Kong,1.8,1.4
Azerbaijan,1.6,1.8
Sierra Leone,1.2,0.6
Central African Republic,0.8,2.4
Myanmar,1.8,2.0
Iceland,0.6,2.0
Armenia,0.6,2.8
Hungary,1.2,0.8
Trinidad and Tobago,1.0,3.2
Togo,0.8,0.8
China,1.4,1.0
Comoros,0.0,0.6
Benin,0.8,1.4
Kazakhstan,1.0,0.6
Belarus,1.8,0.8
Cambodia,1.6,1.4
Latvia,0.8,2.0
Liberia,0.6,1.4
Chile,2.0,1.8
Burkina Faso,1.6,1.4
Russia,1.2,0.8
Thailand,3.4,1.0
Kyrgyzstan,1.0,1.8
Malawi,0.2,0.6
Lithuania,0.6,1.4
San Marino,0.6,2.4
Costa Rica,0.6,2.2
Afghanistan,0.6,0.6
Nigeria,2.2,1.0
Bolivia,1.2,1.6
Pakistan,1.8,1.2
Scotland,1.8,0.6
Czech Republic,2.2,1.4
Qatar,0.2,2.2
Haiti,1.2,1.4
South Korea,1.6,0.6
Curaçao,1.4,3.2
Turkey,1.4,0.8
Tunisia,0.2,3.0
Saudi Arabia,1.0,1.4
Iraq,0.6,2.0
Iran,2.4,0.6
Uruguay,1.0,1.8
New Zealand,1.4,2.2
Panama,1.4,2.2
Uzbekistan,0.4,2.4
Jordan,1.0,2.6
South Africa,0.6,0.6
Germany,3.2,1.0
Japan,1.8,0.6
Netherlands,2.4,1.2
Sweden,2.0,2.4
Ivory Coast,1.4,0.6
Ecuador,1.4,0.6
Bosnia and Herzegovina,1.2,1.4
Senegal,2.0,1.8
DR Congo,1.0,1.0
Algeria,2.0,1.4
Croatia,1.4,1.6
Austria,1.6,1.2
Ghana,0.6,1.0
Cape Verde,1.0,1.0
Australia,0.6,0.8
Canada,2.0,0.8
Paraguay,1.4,1.0
Mexico,2.6,0.2
Brazil,2.2,0.6
Portugal,2.0,0.6
United States,2.2,1.2
Colombia,1.4,0.2
Egypt,1.4,1.2
Morocco,2.0,0.8
Belgium,2.6,1.0
Switzerland,1.8,0.6
Norway,2.4,1.8
France,2.6,0.2
Spain,2.2,0.2
England,1.8,0.8
Argentina,2.8,1.2
